Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags,DOI_Link,location1,location2,location3,location4,location5
"Influence of flooding, salinization, and soil properties on degradation of chlorantraniliprole in california rice field soils","Redman, Z.C.; Parikh, S.J.; Hengel, M.J.; Tjeerdema, R.S.","Chlorantraniliprole (3-bromo-N-[4-chloro-2-methyl-6-(methylcarbamoyl)phenyl]-1-(3-chloro-2-pyridine-2-yl)-1H-pyrazole-5-carboxamide; CAP) was granted supplemental registration for use in rice cultivation in California through December, 2018. Previous work investigated the partitioning of CAP in California rice field soils; however, its degradation in soils under conditions relevant to California rice culture has not been investigated. The degradation of CAP in soils from two California rice fields was examined under aerobic and anaerobic conditions with varying salinity via microcosm experiments. Results indicate that soil properties governing bioavailability may have a greater influence on degradation than flooding practices or field salinization over a typical growing season. Differences between native and autoclaved soils (t1/2 = 59.0-100.2 and 78.5-171.7 days) suggest that biological processes were primarily responsible for CAP degradation; however, future work should be done to confirm specific biotic processes as well as to elucidate abiotic processes, such as degradation via manganese oxides and formation of nonextractable residues, which may contribute to its dissipation. © 2019 American Chemical Society.",2019,,J. Agric. Food Chem.,67,29,8130-8137,,10.1021/acs.jafc.9b02947,,#16915,Redman 2019,,,https://doi.org/10.1021/acs.jafc.9b02947,California,,,,
Hydrological and geomorphological controls on the water balance components of a mangrove forest during the dry season in the pacific coast of Nicaragua,"Calderon, H.; Weeda, R.; Uhlenbrook, S.","Hydrological and geomorphological processes are key to mangrove forest growth and development. However, few mangrove hydrology studies exist in Central America. A 0.2 km2 mangrove forest on the Pacific coast of Nicaragua was investigated to determine the water balance dynamics during the dry season. The used multi-methods approach combined hydrology, hydrochemistry and geophysics. Precipitation is the main freshwater input. Beach ridges are the key geomorphologic features which allowed an increase in water storage of 351 m3d-1 during a 22 day period. Large precipitation events cause breaking of the beach ridges by excess water, suddenly emptying the system. Grey water and pit latrines from the nearby town influence shallow groundwater quality, but also provide extra nutrients for the mangrove forest. Groundwater chemistry is also affected by calcite dissolution and seawater. Refreshening and salinization processes are controlled by the general groundwater flow direction. Hydraulic and hydrochemical influence of seawater on coastal piezometers seems to be controlled by the elevation of the water table and the tidal amplitude. These conditions control forest subsistence during the dry season, which is essential for the mangrove forest to provide ecological and economic benefits such as protection against flooding, habitat for numerous species, and tourist attraction. © 2014 Society of Wetland Scientists.",2014,,Wetlands,34,4,685-697,,10.1007/s13157-014-0534-1,,#16925,Calderon 2014,,,https://doi.org/10.1007/s13157-014-0534-1,Nicaragua,,,,
Short term effects of salinization on compound release from drained and restored coastalwetlands,"Liu, H.; Lennartz, B.","Over the past two decades, great efforts have been made to restore coastal wetlands through the removal of dikes, but challenges remain because the effects of flooding with saline water on water quality are unknown. We collected soil samples from two adjacent coastal fen peatlands, one drained and diked, the other open to the sea and rewetted, aiming at assessing the mobility and export of various compounds. Microcosm experiments with constant flow-through conditions were conducted to determine the effluent concentrations of dissolved organic carbon (DOC), ammonium (NH4 +), and phosphate (PO4 3-) during saline-fresh water cycles. Sodium chloride (NaCl) was used to adjust salinity (saline water, NaCl concentration of 0.12 mol L-1; fresh water, NaCl concentration of 0.008 mol L-1) and served as a tracer. A model analysis of the obtained chloride (Cl-) and sodium (Na+) breakthrough curves indicated that peat soils have a dual porosity structure. Sodium was retarded in peat soils with a retardation factor of 1.4 ± 0.2 due to adsorption. The leaching tests revealed that water salinity has a large impact on DOC, NH4 +, and PO4 3- release. The concentrations of DOC in the effluent decreased with increasing water salinity because the combination of high ionic strength (NaCl concentration of 0.12 mol L-1) and low pH (3.5 to 4.5) caused a solubility reduction. On the contrary, saline water enhanced NH4 + release through cation exchange processes. The PO4 3- concentrations, however, decreased in the effluent with increasing water salinity. Overall, the decommissioning of dikes at coastal wetlands and the flooding of once drained and agriculturally used sites increase the risk that especially nitrogen may be leached at higher rates to the sea. © 2019 by the authors.",2019,,Water,11,8,,,10.3390/w11081549,,#16926,Liu 2019,,,https://doi.org/10.3390/w11081549,L-1,,,,
Quantification of Impacts and Ecosystem Services Loss in New Jersey Coastal Wetlands Due to Hurricane Sandy Storm Surge,"Hauser, S.; Meixler, M.S.; Laba, M.","The effects of Hurricane Sandy storm surge on wetland degradation and consequent loss of ecosystem services were estimated for coastal wetlands in New Jersey. Research in this field has qualitatively determined the effects of hurricanes on wetlands; however, there has been little quantification of wetland degradation and absolutely no assessment of impact to ecosystem services following a hurricane. Wetland degradation was mapped and quantified by comparing pre- and post-Sandy aerial photography from 2012. Loss of ecosystem services was estimated based on degree of wetland degradation. Our wetland degradation analysis found that the main mechanisms behind degradation were erosion, deposition and marsh salinization. Moderate flooding and marsh dieback were the most prevalent types of damage, and saline marshes and herbaceous wetlands were the most degraded wetland types. Severe degradation was most prevalent, occurring in 41.38 % of the wetlands. In addition, we found that 51.05 % of the degradation was long-term damage. In our ecosystem service loss analysis, we created a range of monetary values to show the distribution of damage. Monetary loss within New Jersey ranged up to $4.4 billion of the total $9.4 billion provided by wetlands (47 %). Our wetland degradation quantification and ecosystem service loss analysis provide insight into the impacts from storm surge damage and offers a novel methodology for remediation and restoration efforts. © 2015, Society of Wetland Scientists.",2015,,Wetlands,35,6,1137-1148,,10.1007/s13157-015-0701-z,,#16979,Hauser 2015,,,https://doi.org/10.1007/s13157-015-0701-z,New Jersey,,,,
Water regimes of rice fields,"Nurjanov, S.","The article is a review work, periodic moistening - a layer of water is absent throughout the entire growing season of rice, optimum soil moisture is created through periodic irrigation. Mostly applied permanent and shortened flooding. The most promising is the water regime with shortened flooding. Depending on the method of sowing, debris from the rice field by grasslands and soil salinization, there are various options for this mode. Rice plant, like any other, imposes different requirements for water in different phases of the growing season. The best medium for rice in the period of germination and in the phase of emergence is a moist soil. To obtain seedlings on highly saline soils with a close level of saline groundwater, the most favorable is a small layer of water, which is periodically replaced. © The Authors, published by EDP Sciences, 2019.",2019,,E3S Web Conf.,97,,,,10.1051/e3sconf/20199705026,,#16981,Nurjanov 2019,,,https://doi.org/10.1051/e3sconf/20199705026,,,,,
Hurricane impacts on coastal wetlands: A half-century record of storm-generated features from Southern Louisiana,"Morton, R.A.; Barras, J.A.","Temporally and spatially repeated patterns of wetland erosion, deformation, and deposition are observed on remotely sensed images and in the field after hurricanes cross the coast of Louisiana. The diagnostic morphological wetland features are products of the coupling of high-velocity wind and storm-surge water and their interaction with the underlying, variably resistant, wetland vegetation and soils. Erosional signatures include construction of orthogonal-elongate ponds and amorphous ponds, pond expansion, plucked marsh, marsh denudation, and shoreline erosion. Post-storm gravity reflux of floodwater draining from the wetlands forms dendritic incisions around the pond margins and locally integrates drainage pathways forming braided channels. Depositional signatures include emplacement of broad zones of organic wrack on topographic highs and inorganic deposits of variable thicknesses and lateral extents in the form of shore-parallel sandy washover terraces and interior-marsh mud blankets. Deformational signatures primarily involve laterally compressed marsh and displaced marsh mats and balls. Prolonged water impoundment and marsh salinization also are common impacts associated with wetland flooding by extreme storms. Many of the wetland features become legacies that record prior storm impacts and locally influence subsequent storm-induced morphological changes. Wetland losses caused by hurricane impacts depend directly on impact duration, which is controlled by the diameter of hurricane-force winds, forward speed of the storm, and wetland distance over which the storm passes. Distinguishing between wetland losses caused by storm impacts and losses associated with long-term delta-plain processes is critical for accurate modeling and prediction of future conversion of land to open water. © Coastal Education & Research Foundation 2011.",2011,,J. Coast. Res.,27,6 A,27-43,,10.2112/JCOASTRES-D-10-00185.1,,#16999,Morton 2011,,,https://doi.org/10.2112/JCOASTRES-D-10-00185.1,Louisiana,,,,
"Water, climate, and social change in a fragile landscape","Hargrove, W.L.; Borrok, D.M.; Heyman, J.M.; Tweedie, C.M.; Ferregut, C.","We present here and in the companion papers an analysis of sustainability in the Middle Rio Grande region of the U.S.-Mexico border and propose an interdisciplinary research agenda focused on the coupled human and natural dimensions of water resources sustainability in the face of climate and social change in an international border region. Key threats to water sustainability in the Middle Rio Grande River region include: (1) increasing salinization of surface and ground water, (2) increasing water demand from a growing population in the El Paso/Ciudad Juarez area on top of an already high base demand from irrigated agriculture, (3) water quality impacts from agricultural, municipal, and industrial discharges to the river, (4) changing regional climate that portends increased frequency and intensity of droughts interspersed with more intensive rainfall and flooding events, and (5) disparate water planning and management systems between different states in the U.S. and between the U.S. and Mexico. In addition to these challenges, there is an increasing demand from a significant regional population who is (and has been historically) underserved in terms of access to affordable potable water. To address these challenges to water resources sustainability, we have focused on: (1) the determinants of resilience and transformability in an ecological/social setting on an international border and how they can be measured and predicted; and (2) the drivers of change . . . what are they (climate, social, etc.) and how are they impacting the coupled human and natural dimensions of water sustainability on the border? To tackle these challenges, we propose a research agenda based on a complex systems approach that focuses on the linkages and feedbacks of the natural, built/managed, and social dimensions of the surface and groundwater budget of the region. The approach that we propose incorporates elements of systems analysis, complexity science, and the use of modeling tools such as scenario planning and back-casting to link the quantitative with the qualitative. This approach is unique for our region, as are our bi-national focus and our conceptualization of ''water capital''. In particular, the concept of water capital provides the basis for a new interdisciplinary paradigm that integrates social, economic, and natural sectors within a systems framework in order to understand and characterize water resources sustainability. This proposed approach would not only provide a framework for water sustainability decision making for our bi-national region at the local, state, and federal levels, but could serve as a model for similar border regions and/or international rivers in arid and semi-arid regions in the Middle East, Africa, Asia, and Latin America.© 2013 Hargrove et al.",2013,,Ecosphere,4,2,,,10.1890/ES12-00269.1,,#17004,Hargrove 2013,,,https://doi.org/10.1890/ES12-00269.1,U.S.,the El Paso,Mexico,,
Greenhouse soil salinity reclamation by leaching,"Blanco, F.F.; Folegatti, M.V.","Fertilizers overapplication and inadequate irrigation management in greenhouse crops have brought to soil salinization, resulting in crop yield reduction. The aim of this work was to evaluate different leaching water depths and methods of application on a salinized soil reclamation in a greenhouse. Three relative water depths (2/3, 1, 3/2), based on calculated leaching water depth, were applied by drip irrigation and flooding, resulting in a 2×3 factorial scheme, with 3 replications. From the obtained results, we concluded that the application by drip was more efficient than flood in leaching the salts accumulated in the soil, and the relative water depth and coefficient K of 0.9 and 0.1 for drip and 1.3 and 0.2 for flooding, respectively, should be used.",2000,,ASAEAnnu. Int. Meeting Tech. Pap. Eng. Solut. for a New Cent.,2,,4265-4270,,,,#17009,Blanco 2000,,,https://doi.org/nan,,,,,
Roles of saltcedar (Tamarix spp.) and capillary rise in salinizing a non-flooding terrace on a flow-regulated desert river,"Glenn, E.P.; Morino, K.; Nagler, P.L.; Murray, R.S.; Pearlstein, S.; Hultine, K.R.","Tamarix spp. (saltcedar) secretes salts and has been considered to be a major factor contributing to the salinization of river terraces in western US riparian zones. However, salinization can also occur from the capillary rise of salts from the aquifer into the vadose zone. We investigated the roles of saltcedar and physical factors in salinizing the soil profile of a non-flooding terrace at sites on the Cibola National Wildlife Refuge on the Lower Colorado River, USA. We placed salt traps under and between saltcedar shrubs and estimated the annual deposition rate of salts from saltcedar. These were then compared to the quantities and distribution on of salts in the soil profile. Dense stands of saltcedar deposited 0.159kgm -2yr -1 of salts to the soil surface. If this rate was constant since seasonal flooding ceased in 1938 and all of the salts were retained in the soil profile, they could account for 11.4kgm -2 of salt, about 30% of total salts in the profile today. Eliminating saltcedar would not necessarily reduce salts, because vegetation reduces the upward migration of salts in bulk flow from the aquifer. The densest saltcedar stand had the lowest salt levels in the vadose zone in this study. © 2011 Elsevier Ltd.",2012,,J. Arid Environ.,79,,56-65,,10.1016/j.jaridenv.2011.11.025,,#17020,Glenn 2012,,,https://doi.org/10.1016/j.jaridenv.2011.11.025,US,USA,,,
"Knowledge, conservation and sustainable use of soil: Physic and morphological aspects","Pagliai, M.","The main aspects of environmental degradation can be ascribed to soil (erosion, soil compaction, soil crusting, deterioration of soil structure, flooding, losses of organic matter, salinisation, onsite and offsite damages, etc.) following the impact of human activities. Since agricultural conventional production systems have resulted in excessive erosion and soil degradation, there is need to control and fight such degradation. Scientific results have clearly showed that the agricultural management systems can play an important role in preventing soil degradation provide that appropriate management practices are adopted. Long-term field experiments in different types of soils have shown that alternative tillage systems, like minimum tillage, ripper subsoiling, etc., improve the soil structural quality. The continuous conventional tillage causes a decrease of soil organic matter content that is associated to a decrease of aggregate stability, leading, as a consequence, to the formation of surface crusts, with an increase of runoff and erosion risks. Other aspects of very dangerous soil degradation (erosion) in the hilly environments are represented by land levelling and scraping. After levelling, slopes being prepared for plantation (in particularly vineyard) are almost always characterised by the presence of large amounts of incoherent earth materials accumulated with scraper. In this vulnerable condition, a few summer storms can easily cause soil losses exceeding 500 Mg ha-1y -1. Moreover, the land levelling and the following soil loss causes drastic alteration of the landscape and loss of the cultural value of soil. Subsoil compaction is strongly under evaluated, even though the presence of a ploughpan at the lower limit of cultivation is largely widespread in the alluvial soils of the plains cultivated by monoculture and it is responsible of the frequent flooding of such plains in occasion of heavy rains concentrated in a short time (rainstorm), because the presence of this ploughpan strongly reduced drainage. Alternative tillage practices, like ripper subsoiling, are able to avoiding the formation of this compact layer. The soil conservation can be realised through a correct soil management and, therefore, it is essential to know this resource and to have pedological data bases of appropriate detail.",2009,,Ital. J. Agron.,4,3 SUPPL.,151-160,,10.4081/ija.2009.s3.151,,#17031,Pagliai 2009,,,https://doi.org/10.4081/ija.2009.s3.151,,,,,
Parametric Studies on Saltwater Intrusion into Coastal Aquifers for Anticipate Sea Level Rise,"Priyanka, BN; Mahesha, A","Saltwater intrusion into coastal aquifers is a global issue, exacerbated by increasing demands for freshwater in coastal regions. This study investigates into the parametric analysis on saltwater intrusion in a conceptual, coastal, unconfined aquifer considering wide range of freshwater draft and anticipated sea level rise. The saltwater intrusion under various circumstances is simulated through parametric studies using MODFLOW, MT3DMS and SEAWAT. The MODFLOW is used to simulate the groundwater flow system under changing hydro-dynamics in coastal aquifer. To simulate solute transport MT3DMS and SEAWAT is used. The saltwater intrusion process has direct bearing on hydraulic conductivity and inversely related to porosity. It may also be noted that increase in recharge rate considered in the study does not have much influence on saltwater intrusion. Effect of freshwater draft at locations beyond half of the width of the aquifer considered has marginal effect and hence can be considered as safe zone for freshwater withdrawals. Due to the climate change effect, the anticipated rise in sea level of 0.88 m over a century is considered in the investigation. This causes increase in salinity intrusion by about 25%. The combined effect of sea level rise and freshwater draft (C) 2015 The Authors. Published by Elsevier B.V.",2015,,"INTERNATIONAL CONFERENCE ON WATER RESOURCES, COASTAL AND OCEAN ENGINEERING (ICWRCOE'15)",4,,103-108,WOS:000353455800014,10.1016/j.aqpro.2015.02.015,,#17112,Priyanka 2015,,,https://doi.org/10.1016/j.aqpro.2015.02.015,,,,,
Evaluating the effects of and-use change and future climate change on vulnerability of coastal landscapes to saltwater intrusion,"Bhattachan, A; Emanuel, RE; Ardon, M; Bernhardt, ES; Anderson, SM; Stillwagon, MG; Ury, EA; BenDor, TK; Wright, JP","The exposure of freshwater-dependent coastal ecosystems to saltwater is a present-day impact of climate and land-use changes in many coastal regions, with the potential to harm freshwater and terrestrial biota, alter biogeochemical cycles and reduce agricultural yields. Land-use activities associated with artificial drainage infrastructure (canals, ditches, and drains) could exacerbate saltwater exposure. However, studies assessing the effects of artificial drainage on the vulnerability of coastal landscapes to saltwater exposure are lacking. We examined the extent to which artificial drainage infrastructure has altered the potential for saltwater intrusion in the coastal plain of eastern North Carolina. Regional spatial analyses demonstrate that artificial drainages not only lower the overall elevation in coastal landscapes, but they also alter the routing and concentration of hydrological flows. Together, these factors have the potential to increase the total proportion of the landscape vulnerable to saltwater intrusion, not only in areas adjacent to drainage infrastructure but also in places where no artificial drainages exist due to large scale effects of flow rerouting. Among all land cover types in eastern North Carolina, wetlands are most vulnerable to saltwater exposure. Droughts and coastal storms associated with climate change potentially exacerbate vulnerability to saltwater facilitated by artificial drainage.",2018,,ELEMENTA-SCIENCE OF THE ANTHROPOCENE,6,,,WOS:000445487800001,10.1525/elementa.316,,#17143,Bhattachan 2018,,,https://doi.org/10.1525/elementa.316,North Carolina,,,,
Public priorities on locally-driven sea level rise planning on the East Coast of the United States,"Carpenter, AT","Sea level rise poses a substantial concern to communities worldwide. Increased inundation, storm surge, saltwater intrusion, and other impacts create challenges which will require considerable planning to address. Recognizing the broad and differing scope of sea level rise issues and the variability of policy options to address them, local planning frameworks are necessary in addition to tools and resources available from state and federal governments. To help assess priorities and preferences on sea level rise planning, a survey of 503 persons affiliated with coastal communities on the East Coast of the United States was conducted in December 2017. This survey studied key aspects locally-driven sea level rise plans, including planning priorities, funding options, methods to resolve conflict, and potential responses. Six key findings address these and other concerns to provide the foundation of a locally driven framework for public officials.",2020,,PEERJ,8,,,WOS:000530021900006,10.7717/peerj.9044,,#17189,Carpenter 2020,,,https://doi.org/10.7717/peerj.9044,the United States,,,,
Adaptation as a potential response to sea-level rise: a genetic basis for salinity tolerance in populations of a coastal marsh fish,"Purcell, KM; Hitch, AT; Klerks, PL; Leberg, PL","Relative sea-level rise is resulting in the intrusion of saline waters into marshes historically dominated by fresh water. Saltwater intrusions can potentially affect resident marsh species, especially when storm-related tidal surges cause rapid changes in salinity. We examined the role of historical salinity exposure on the survival of Gambusia affinis from two locations in coastal Louisiana. At each location, we sampled fish populations from fresh, intermediate and brackish marshes. Individuals were then exposed to a salinity of 25 parts per thousand and survival time was measured. We found that fish from brackish and intermediate marshes had an increased tolerance to salinity stress relative to fish from freshwater environments. We then tested the descendents of fish from the fresh and brackish marshes, reared for two generation in fresh water, to determine if there was a genetic basis for differential survival. We found that descendents of individuals from brackish marshes showed elevated survivals relative to the descendents of fish with no historical exposure to salinity. The most reasonable mechanism to account for the differences in survival relative to historical exposure is genetic adaptation, suggesting that natural selection may play a role in the responses of resident marsh fishes to future increases in salinity.",2008,,EVOLUTIONARY APPLICATIONS,1,1,155-160,WOS:000262783400013,10.1111/j.1752-4571.2007.00001.x,,#17208,Purcell 2008,,,https://doi.org/10.1111/j.1752-4571.2007.00001.x,Gambusia,Louisiana,,,
Exploration of the effects of storm surge on the extent of saltwater intrusion into the surficial aquifer in coastal east-central Florida (USA),"Xiao, H; Wang, DB; Medeiros, SC; Bilskie, MV; Hagen, SC; Hall, CR","Climate change such as altered frequency and intensity of storm surge from tropical cyclones can cause saltwater intrusion into coastal aquifers. In this study, a reference SEAWAT model and a diagnostic SEAWAT model are developed to simulate the temporal variation of surficial aquifer total dissolved solids (TDS) concentrations after the occurrence of a storm surge for exploration of the effects of storm surge on the extent of saltwater intrusion into the surficial aquifer in coastal east-central Florida (USA). It is indicated from the simulation results that: (1) rapid infiltration and diffusion of overtopping saltwater resulting from storm surge could cause a significant and rapid increase of TDS concentrations in the surficial aquifer right after the occurrence of storm surge; (2) rapid infiltration of freshwater from rainfall could reduce surficial aquifer TDS concentrations beginning from the second year after the occurrence of storm surge in that the infiltrated rainwater could generate an effective hydraulic barrier to impede further inland migration of saltwater and provide a downgradient freshwater discharge for saltwater dilution and flushing counteracting the effects of storm surge on the extent of saltwater intrusion; and (3) infiltrated rainwater might take approximately eight years to dilute and flush the overwhelming majority of infiltrated saltwater back out to the surrounding waterbodies, i.e., the coastal lagoons and the Atlantic Ocean. (C) 2018 Elsevier B.V. All rights reserved.",2019,,SCIENCE OF THE TOTAL ENVIRONMENT,648,,1002-1017,WOS:000447805500095,10.1016/j.scitotenv.2018.08.199,,#17245,Xiao 2019,,,https://doi.org/10.1016/j.scitotenv.2018.08.199,Florida,USA,,,
Assessment of the impact of sea-level rise on steady-state seawater intrusion in a layered coastal aquifer,"Shi, WL; Lu, CH; Ye, Y; Wu, JC; Li, L; Luo, J","Previous studies on the impact of sea-level rise (SLR) on seawater intrusion (SWI) are mostly based on the assumption of a homogeneous coastal aquifer. In this study, we extend those studies by investigating SLR-induced SWI in a layered coastal aquifer using the analytical method developed by Strack and Ausk (2015). We provide analytical solutions for steady-state SWI in confined and unconfined coastal aquifers, where both constant-head and constant-flux inland boundary conditions are considered. The analysis based on a three-layer aquifer indicates that in general aquifer stratification affects either or both the initial location and response distance of the interface toe. Specifically, for flux-controlled unconfined coastal systems, the toe response distance driven by SLR is a linear function of the hydraulic conductivity of the top layer and independent of hydraulic conductivities of lower layers. Using an equivalent homogeneous hydraulic conductivity (derived based on the initial interface toe location before SLR) would result in overestimation or underestimation of the toe response distance, depending on the hydraulic conductivities and thicknesses of the layers. For flux-controlled confined layered coastal systems, by contrast, SLR can not cause variation of the steady-state interface toe location, which is consistent with previous findings for homogeneous coastal aquifers. The interface toe location in head-controlled layered coastal systems is only a function of relative hydraulic conductivities between the layers. Moreover, the effect of the layer thickness on the interface toe location and response distance in the head controlled system exhibits a more complicated pattern than in the flux-controlled coastal system, as changing the layer thickness changes both the overall aquifer transmissivity and inland freshwater flux. The results obtained enhance the understanding of the impact of SLR on SWI, which could provide a first-order assessment tool for relevant practitioners.",2018,,JOURNAL OF HYDROLOGY,563,,851-862,WOS:000441492700068,10.1016/j.jhydrol.2018.06.046,,#17267,Shi 2018,,,https://doi.org/10.1016/j.jhydrol.2018.06.046,,,,,
Impacts of inland boundary conditions on modeling seawater intrusion in coastal aquifers due to sea-level rise,"Sun, DM; Niu, SX; Zang, YG","Inland boundary conditions have significant impacts on seawater intrusion (SWI) due to sea-level rise (SLR). This study investigated the impacts of three inland boundary conditions (flux-controlled (FC), head-controlled (HC) and general-head boundary (GHB)) on modeling SWI due to SLR in coastal aquifers. First, we used the TOUGH2/EOS7 software program to solve the standard Henry's problem and compared the results with those from the literatures. Numerical simulations were performed to investigate the impacts of the three inland boundary conditions on SWI induced by SLR in confined coastal aquifers (standard Henry's problem) and unconfined coastal aquifers (Henry's problem extended to unconfined domains). The simulation results show that HC systems in both confined and unconfined coastal aquifers are remarkably vulnerable to the effects of SLR owing to the resulting decreased head difference, while FC systems are relatively insensitive to SLR because the equivalent freshwater head at the inland boundary can increase by a similar magnitude to the SLR. The GHB boundary is more realistic than the other two boundary conditions: the recharge decreases because of SLR depending on the aquifer properties and the head difference between the reference head and the equivalent freshwater head at the seaside boundary.",2017,,NATURAL HAZARDS,88,1,145-163,WOS:000405328100008,10.1007/s11069-017-2860-0,,#17285,Sun 2017,,,https://doi.org/10.1007/s11069-017-2860-0,,,,,
Functional and Compositional Responses of Periphyton Mats to Simulated Saltwater Intrusion in the Southern Everglades,"Mazzei, V; Gaiser, EE; Kominoski, JS; Wilson, BJ; Servais, S; Bauman, L; Davis, SE; Kelly, S; Sklar, FH; Rudnick, DT; Stachelek, J; Troxler, TG","Periphyton plays key ecological roles in karstic, freshwater wetlands and is extremely sensitive to environmental change making it a powerful tool to detect saltwater intrusion into these vulnerable and valuable ecosystems. We conducted field mesocosm experiments in the Florida Everglades, USA to test the effects of saltwater intrusion on periphyton metabolism, nutrient content, and diatom species composition, and how these responses differ between mats from a freshwater versus a brackish marsh. Pulsed saltwater intrusion was simulated by dosing treatment chambers monthly with a brine solution for 15months; control chambers were simultaneously dosed with site water. Periphyton from the freshwater marsh responded to a 1-ppt increase in surface water salinity with reduced productivity and decreased concentrations of total carbon, nitrogen, and phosphorus. These functional responses were accompanied by significant shifts in periphytic diatom assemblages. Periphyton mats at the brackish marsh were more functionally resilient to the saltwater treatment (similar to 2ppt above ambient), but nonetheless experienced significant shifts in diatom composition. These findings suggest that freshwater periphyton is negatively affected by small, short-term increases in salinity and that periphytic diatom assemblages, particularly at the brackish marsh, are a better metric of salinity increases compared with periphyton functional metrics due to functional redundancy. This research provides new and valuable information regarding periphyton dynamics in response to changing water sources in the southern Everglades that will allow us to extend the use of periphyton, and their diatom assemblages, as tools for environmental assessments related to saltwater intrusion.",2018,,ESTUARIES AND COASTS,41,7,2105-2119,WOS:000445240600018,10.1007/s12237-018-0415-6,,#17292,Mazzei 2018,,,https://doi.org/10.1007/s12237-018-0415-6,USA,,,,
Effect of Sea-Level Rise on Salt Water Intrusion near a Coastal Well Field in Southeastern Florida,"Langevin, CD; Zygnerski, M","A variable-density groundwater flow and dispersive solute transport model was developed for the shallow coastal aquifer system near a municipal supply well field in southeastern Florida. The model was calibrated for a 105-year period (1900 to 2005). An analysis with the model suggests that well-field withdrawals were the dominant cause of salt water intrusion near the well field, and that historical sea-level rise, which is similar to lower-bound projections of future sea-level rise, exacerbated the extent of salt water intrusion. Average 2005 hydrologic conditions were used for 100-year sensitivity simulations aimed at quantifying the effect of projected rises in sea level on fresh coastal groundwater resources near the well field. Use of average 2005 hydrologic conditions and a constant sea level result in total dissolved solids (TDS) concentration of the well field exceeding drinking water standards after 70 years. When sea-level rise is included in the simulations, drinking water standards are exceeded 10 to 21 years earlier, depending on the specified rate of sea-level rise.",2013,,GROUND WATER,51,5,781-803,WOS:000323889900020,10.1111/j.1745-6584.2012.01008.x,,#17325,Langevin 2013,,,https://doi.org/10.1111/j.1745-6584.2012.01008.x,Florida,,,,
Climate Change Projected Effects on Coastal Foundation Communities of the Greater Everglades Using a 2060 Scenario: Need for a New Management Paradigm,"Koch, MS; Coronado, C; Miller, MW; Rudnick, DT; Stabenau, E; Halley, RB; Sklar, FH","Rising sea levels and temperature will be dominant drivers of coastal Everglades' foundation communities (i.e., mangrove forests, seagrass/macroalgae, and coral reefs) by 2060 based on a climate change scenario of +1.5 A degrees C temperature, +1.5 foot (46 cm) in sea level, +/- 10 % in precipitation and 490 ppm CO2. Current mangrove forest soil elevation change in South Florida ranges from 0.9 to 2.5 mm year(-1) and would have to increase twofold to fourfold in order to accommodate a 2060 sea level rise rate. No evidence is available to indicate that coastal mangroves from South Florida and the wider Caribbean can keep pace with a rapid rate of sea level rise. Thus, particles and nutrients from destabilized coastlines could be mobilized and impact benthic habitats of southern Florida. Uncertainties in regional geomorphology and coastal current changes under higher sea levels make this prediction tentative without further research. The 2060 higher temperature scenario would compromise Florida's coral reefs that are already degraded. We suggest that a new paradigm is needed for resource management under climate change that manages coastlines for resilience to marine transgression and promotes active ecosystem management. In the case of the Everglades, greater freshwater flows could maximize mangrove peat accumulation, stabilize coastlines, and limit saltwater intrusion, while specific coral species may require propagation. Further, we suggest that regional climate drivers and oceanographic processes be incorporated into Everglades and South Florida management plans, as they are likely to impact coastal ecosystems, interior freshwater wetlands and urban coastlines over the next few decades.",2015,,ENVIRONMENTAL MANAGEMENT,55,4,857-875,WOS:000351838300009,10.1007/s00267-014-0375-y,,#17336,Koch 2015,,,https://doi.org/10.1007/s00267-014-0375-y,Florida,,,,
The impact of aquifer stratification on saltwater intrusion characteristics. Comprehensive laboratory and numerical study,"Etsias, G; Hamill, GA; Aguila, JF; Benner, EM; McDonnell, MC; Ahmed, AA; Flynn, R","Laboratory experiments and numerical simulations were utilized in this study to assess the impact of aquifer stratification on saltwater intrusion. Three homogeneous and six layered aquifers were investigated. Image processing algorithms facilitated the precise calculation of saltwater wedge toe length, width of the mixing zone, and angle of intrusion. It was concluded that the length of intrusion in stratified aquifers is predominantly a function of permeability contrast, total aquifer transmissivity and the number of heterogeneous layers, being positively correlated to all three. When a lower permeability layer overlays or underlays more permeable zones its mixing zone widens, while it becomes thinner for the higher permeability strata. The change in the width of the mixing zone (WMZ) is positively correlated to permeability contrast, while it applies to all strata irrespectively of their relative vertical position in the aquifer. Variations in the applied hydraulic head causes the transient widening of WMZ. These peak WMZ values are larger during saltwater retreat and are negatively correlated to the layer's permeability and distance from the aquifer's bottom. Moreover, steeper angles of intrusion are observed in cases where low permeability layers overlay more permeable strata, and milder ones in the inverse aquifer setups. The presence of a low permeability upper layer results in the confinement of the saltwater wedge in the lower part of the stratified aquifer. This occurs until a critical hydraulic head difference is applied to the system. This hydraulic gradient value was found to be a function of layer width and permeability contrast alike.",2021,,HYDROLOGICAL PROCESSES,35,4,,WOS:000645220700034,10.1002/hyp.14120,,#17338,Etsias 2021,,,https://doi.org/10.1002/hyp.14120,,,,,
